Profiling main()
         32360166 function calls (32291039 primitive calls) in 63.379 seconds

   Ordered by: cumulative time
   List reduced from 5167 to 90 due to restriction <'agent.py|basis.py|model_dynamics.py|ergodic_controllers.py|barrier.py|replay_buffer.py|obstacles.py'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.006    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:13(__init__)
     1500    0.005    0.000    0.005    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:498(withinBounds)
        1    0.000    0.000    0.004    0.004 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:1(<module>)
     1502    0.001    0.000    0.003    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:60(get)
        1    0.000    0.000    0.002    0.002 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:1(<module>)
     3791    0.001    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:126(_gradRhoFunc)
     1500    0.001    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:217(calcLambdaDuration)
       13    0.000    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:176(returnBoundaryPointsForPlotting)
        3    0.000    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:6(__init__)
        3    0.000    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:9(__init__)
        5    0.000    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:7(__init__)
        3    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:62(precalcAllHk)
       16    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:265(state_string)
      150    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:106(alpha)
       12    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:9(__init__)
        3    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:239(__init__)
        3    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:147(__init__)
        5    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:69(precalcAllLamdaK)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:1(<module>)
        2    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:249(copy)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:287(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:1(<module>)
        6    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:255(saveObstaclesToMemory)
my_erg_lib\ergodic_controllers.py:5(DecentralisedErgodicController)                my_erg_lib\obstacles.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:79(__init__)my_erg_lib\model_dynamics.py:3(SingleIntegrator)                                   my_erg_lib\basis.py:264(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\barrier.py:1(<module>)my_erg_lib\obstacles.py:5(Obstacle)                                                my_erg_lib\basis.py:236(phi)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:51(modifedPhiForObstacles)my_erg_lib\ergodic_controllers.py:238(NominalFunction)                             my_erg_lib\barrier.py:9(__init__)
        4    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:8(Agent)my_erg_lib\basis.py:232(phi)                                                       my_erg_lib\basis.py:5(Basis)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:271(Quadcopter)my_erg_lib\model_dynamics.py:129(DoubleIntegrator)                                 my_erg_lib\ergodic_controllers.py:5(DecentralisedErgodicController)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:3(SingleIntegrator)my_erg_lib\replay_buffer.py:3(ReplayBufferFIFO)                                    my_erg_lib\obstacles.py:5(Obstacle)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:238(NominalFunction)my_erg_lib\barrier.py:4(Barrier)                                                   my_erg_lib\basis.py:232(phi)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:129(DoubleIntegrator)my_erg_lib\basis.py:286(ReconstructedPhiFromCk)                                    my_erg_lib\replay_buffer.py:3(ReplayBufferFIFO)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\barrier.py:4(Barrier)my_erg_lib\replay_buffer.py:74(ActionMask)                                         my_erg_lib\basis.py:286(ReconstructedPhiFromCk)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:74(ActionMask)my_erg_lib\basis.py:263(ReconstructedPhi) 
