Ergodic cost: 95.642     i: 2540/4000    perc: 63.50%    dt/Ts: 1.74     remaining: 13 s         elapsed: 21.3 s (34 s)
Ergodic cost: 93.118     i: 2560/4000    perc: 64.00%    dt/Ts: 1.71     remaining: 12 s         elapsed: 21.5 s (34 s)
Ergodic cost: 91.638     i: 2580/4000    perc: 64.50%    dt/Ts: 1.72     remaining: 12 s         elapsed: 21.7 s (34 s)
Ergodic cost: 89.637     i: 2600/4000    perc: 65.00%    dt/Ts: 1.70     remaining: 12 s         elapsed: 21.9 s (34 s)
Ergodic cost: 87.821     i: 2620/4000    perc: 65.50%    dt/Ts: 1.72     remaining: 12 s         elapsed: 22.0 s (34 s)
Ergodic cost: 86.957     i: 2640/4000    perc: 66.00%    dt/Ts: 1.70     remaining: 12 s         elapsed: 22.2 s (34 s)
Ergodic cost: 87.026     i: 2660/4000    perc: 66.50%    dt/Ts: 1.74     remaining: 12 s         elapsed: 22.4 s (34 s)
Ergodic cost: 87.366     i: 2680/4000    perc: 67.00%    dt/Ts: 1.72     remaining: 11 s         elapsed: 22.5 s (34 s)
Ergodic cost: 87.959     i: 2700/4000    perc: 67.50%    dt/Ts: 1.67     remaining: 11 s         elapsed: 22.7 s (34 s)
Ergodic cost: 89.413     i: 2720/4000    perc: 68.00%    dt/Ts: 1.75     remaining: 11 s         elapsed: 22.9 s (34 s)
Ergodic cost: 91.183     i: 2740/4000    perc: 68.50%    dt/Ts: 1.72     remaining: 11 s         elapsed: 23.1 s (34 s)
Ergodic cost: 92.200     i: 2760/4000    perc: 69.00%    dt/Ts: 1.68     remaining: 10 s         elapsed: 23.2 s (34 s)
Ergodic cost: 92.365     i: 2780/4000    perc: 69.50%    dt/Ts: 1.76     remaining: 11 s         elapsed: 23.4 s (34 s)
Ergodic cost: 91.949     i: 2800/4000    perc: 70.00%    dt/Ts: 1.74     remaining: 10 s         elapsed: 23.6 s (34 s)
Ergodic cost: 91.164     i: 2820/4000    perc: 70.50%    dt/Ts: 1.74     remaining: 10 s         elapsed: 23.8 s (34 s)
Ergodic cost: 92.327     i: 2840/4000    perc: 71.00%    dt/Ts: 1.84     remaining: 11 s         elapsed: 23.9 s (35 s)
Ergodic cost: 92.207     i: 2860/4000    perc: 71.50%    dt/Ts: 1.68     remaining: 10 s         elapsed: 24.1 s (34 s)
Ergodic cost: 92.076     i: 2880/4000    perc: 72.00%    dt/Ts: 1.71     remaining: 10 s         elapsed: 24.3 s (34 s)
Ergodic cost: 92.174     i: 2900/4000    perc: 72.50%    dt/Ts: 1.69     remaining: 9 s  elapsed: 24.5 s (34 s)
Ergodic cost: 92.887     i: 2920/4000    perc: 73.00%    dt/Ts: 1.70     remaining: 9 s  elapsed: 24.6 s (34 s)
Ergodic cost: 94.419     i: 2940/4000    perc: 73.50%    dt/Ts: 1.70     remaining: 9 s  elapsed: 24.8 s (34 s)
Ergodic cost: 96.231     i: 2960/4000    perc: 74.00%    dt/Ts: 1.69     remaining: 9 s  elapsed: 25.0 s (34 s)
Ergodic cost: 97.530     i: 2980/4000    perc: 74.50%    dt/Ts: 1.69     remaining: 9 s  elapsed: 25.1 s (34 s)
Ergodic cost: 97.675     i: 3000/4000    perc: 75.00%    dt/Ts: 1.75     remaining: 9 s  elapsed: 25.3 s (34 s)
Ergodic cost: 97.177     i: 3020/4000    perc: 75.50%    dt/Ts: 1.73     remaining: 8 s  elapsed: 25.5 s (34 s)
Ergodic cost: 97.412     i: 3040/4000    perc: 76.00%    dt/Ts: 1.68     remaining: 8 s  elapsed: 25.7 s (34 s)
Ergodic cost: 97.930     i: 3060/4000    perc: 76.50%    dt/Ts: 1.67     remaining: 8 s  elapsed: 25.8 s (34 s)
Ergodic cost: 97.297     i: 3080/4000    perc: 77.00%    dt/Ts: 1.68     remaining: 8 s  elapsed: 26.0 s (34 s)
Ergodic cost: 95.196     i: 3100/4000    perc: 77.50%    dt/Ts: 1.70     remaining: 8 s  elapsed: 26.2 s (34 s)
Ergodic cost: 91.951     i: 3120/4000    perc: 78.00%    dt/Ts: 1.70     remaining: 7 s  elapsed: 26.3 s (34 s)
Ergodic cost: 90.197     i: 3140/4000    perc: 78.50%    dt/Ts: 1.68     remaining: 7 s  elapsed: 26.5 s (34 s)
Ergodic cost: 92.615     i: 3160/4000    perc: 79.00%    dt/Ts: 1.71     remaining: 7 s  elapsed: 26.7 s (34 s)
Ergodic cost: 90.181     i: 3180/4000    perc: 79.50%    dt/Ts: 1.70     remaining: 7 s  elapsed: 26.9 s (34 s)
Ergodic cost: 87.476     i: 3200/4000    perc: 80.00%    dt/Ts: 1.74     remaining: 7 s  elapsed: 27.0 s (34 s)
Ergodic cost: 84.605     i: 3220/4000    perc: 80.50%    dt/Ts: 1.74     remaining: 7 s  elapsed: 27.2 s (34 s)
Ergodic cost: 81.843     i: 3240/4000    perc: 81.00%    dt/Ts: 1.72     remaining: 7 s  elapsed: 27.4 s (34 s)
Ergodic cost: 85.476     i: 3260/4000    perc: 81.50%    dt/Ts: 1.72     remaining: 6 s  elapsed: 27.6 s (34 s)
Ergodic cost: 87.011     i: 3280/4000    perc: 82.00%    dt/Ts: 1.74     remaining: 6 s  elapsed: 27.7 s (34 s)
Ergodic cost: 89.458     i: 3300/4000    perc: 82.50%    dt/Ts: 1.73     remaining: 6 s  elapsed: 27.9 s (34 s)
Ergodic cost: 92.023     i: 3320/4000    perc: 83.00%    dt/Ts: 1.75     remaining: 6 s  elapsed: 28.1 s (34 s)
